"","id","date","cluster"
"1",0,2016-11-02,10
"2",0,2016-11-03,3
"3",0,2016-11-04,10
"4",0,2016-11-05,3
"5",0,2016-11-06,2
"6",0,2016-11-07,10
"7",0,2016-11-10,10
"8",0,2016-11-11,10
"9",0,2016-11-12,3
"10",0,2016-11-13,10
"11",0,2016-11-14,1
"12",0,2016-11-15,10
"13",0,2016-11-16,1
"14",0,2016-11-17,10
"15",0,2016-11-18,10
"16",0,2016-11-19,1
"17",0,2016-11-22,1
"18",0,2016-11-23,2
"19",0,2016-11-26,3
"20",0,2016-11-29,5
"21",0,2016-11-30,10
"22",0,2016-12-01,7
"23",0,2016-12-02,10
"24",0,2016-12-03,3
"25",0,2016-12-04,7
"26",0,2016-12-05,3
"27",0,2016-12-06,5
"28",0,2016-12-07,5
"29",0,2016-12-08,3
"30",0,2016-12-09,2
"31",0,2016-12-10,10
"32",0,2016-12-11,1
"33",0,2016-12-12,1
"34",0,2016-12-13,10
"35",0,2016-12-14,3
"36",0,2016-12-15,7
"37",0,2016-12-16,5
"38",0,2016-12-17,10
"39",0,2016-12-18,2
"40",0,2016-12-19,10
"41",0,2016-12-20,10
"42",0,2016-12-21,10
"43",0,2016-12-22,10
"44",0,2016-12-23,7
"45",0,2016-12-24,10
"46",0,2016-12-25,1
"47",0,2016-12-26,3
"48",0,2016-12-27,7
"49",0,2016-12-28,10
"50",0,2016-12-29,1
"51",0,2016-12-30,3
"52",0,2017-01-02,2
"53",0,2017-01-03,7
"54",0,2017-01-04,3
"55",0,2017-01-05,3
"56",0,2017-01-06,7
"57",0,2017-01-07,3
"58",0,2017-01-08,10
"59",0,2017-01-09,1
"60",0,2017-01-10,1
"61",0,2017-01-11,10
"62",0,2017-01-12,10
"63",0,2017-01-13,1
"64",0,2017-01-14,3
"65",0,2017-01-15,10
"66",0,2017-01-16,3
"67",0,2017-01-17,10
"68",0,2017-01-18,7
"69",0,2017-01-19,3
"70",0,2017-01-20,3
"71",0,2017-01-21,3
"72",0,2017-01-22,7
"73",0,2017-01-23,10
"74",0,2017-01-24,10
"75",0,2017-01-25,10
"76",0,2017-01-26,10
"77",0,2017-01-27,7
"78",0,2017-01-28,6
"79",0,2017-01-29,2
"80",0,2017-01-30,10
"81",0,2017-01-31,10
"82",1,2016-10-02,6
"83",1,2016-10-03,10
"84",1,2016-10-04,10
"85",1,2016-10-05,5
"86",1,2016-10-06,2
"87",1,2016-10-07,2
"88",1,2016-10-08,2
"89",1,2016-10-09,10
"90",1,2016-10-10,3
"91",1,2016-10-11,2
"92",1,2016-10-12,10
"93",1,2016-10-13,3
"94",1,2016-10-16,10
"95",1,2016-10-17,3
"96",1,2016-10-18,6
"97",1,2016-10-21,10
