app,date,gap_count,observation_ratio,on_ratio,psn
01_kimchi-fridge,20161229,"{1: 876, 10: 26, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9769444444444444,0.6744566075885382,03
01_kimchi-fridge,20161126,"{1: 870, 10: 24, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9784027777777777,0.5932721350777991,03
02_washing-machine,20161107,"{1: 643, 10: 28, 30: 3, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9809375,0.018942888943950853,03
01_kimchi-fridge,20170131,"{1: 523, 10: 25, 30: 4, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9788888888888889,0.7065676630092067,03
02_washing-machine,20161212,"{1: 947, 10: 31, 30: 8, 60: 7, 300: 2, 1800: 0, 3600: 0, 10800: 0}",0.9521990740740741,0.0,03
01_kimchi-fridge,20161112,"{1: 2282, 10: 24, 30: 2, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9553587962962963,0.6158349789402695,03
02_washing-machine,20170131,"{1: 729, 10: 25, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9780902777777778,0.0,03
00_total,20161126,"{1: 699, 10: 4, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9871064814814815,1.0,03
00_total,20161229,"{1: 78, 10: 2, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.997199074074074,1.0,03
02_washing-machine,20161112,"{1: 2486, 10: 27, 30: 5, 60: 3, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9371527777777777,0.02162611666872504,03
02_washing-machine,20161229,"{1: 1061, 10: 23, 30: 4, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9733101851851852,0.009410897329179251,03
01_kimchi-fridge,20170115,"{1: 1342, 10: 25, 30: 4, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9695601851851852,0.6988754924197207,03
00_total,20170115,"{1: 112, 10: 7, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9957986111111111,1.0,03
01_kimchi-fridge,20161107,"{1: 580, 10: 28, 30: 4, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9810300925925926,0.5426221965290641,03
01_kimchi-fridge,20161212,"{1: 902, 10: 32, 30: 8, 60: 7, 300: 2, 1800: 0, 3600: 0, 10800: 0}",0.9537268518518518,0.6571070281465661,03
00_total,20170101,"{1: 87, 10: 4, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9960532407407408,1.0,03
02_washing-machine,20170115,"{1: 1390, 10: 28, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9686458333333333,0.020279360982662413,03
02_washing-machine,20161129,"{1: 1472, 10: 32, 30: 5, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9593287037037037,0.0,03
00_total,20170131,"{1: 81, 10: 7, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9957523148148149,1.0,03
00_total,20161112,"{1: 107, 10: 10, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9955092592592593,1.0,03
02_washing-machine,20161126,"{1: 1056, 10: 26, 30: 3, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9730902777777778,0.022375260184359202,03
00_total,20161107,"{1: 162, 10: 16, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9938425925925926,1.0,03
02_washing-machine,20161020,"{1: 725, 10: 27, 30: 3, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.979849537037037,0.0,03
00_total,20161129,"{1: 2203, 10: 11, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9637037037037037,1.0,03
02_washing-machine,20161011,"{1: 499, 10: 24, 30: 5, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9816898148148148,0.0,03
01_kimchi-fridge,20170101,"{1: 844, 10: 27, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9737847222222222,0.6977175571006914,03
00_total,20161212,"{1: 128, 10: 3, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9967592592592592,1.0,03
01_kimchi-fridge,20161011,"{1: 460, 10: 24, 30: 4, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9837962962962963,0.5759450980392157,03
00_total,20161020,"{1: 95, 10: 15, 30: 4, 60: 3, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.987025462962963,1.0,03
01_kimchi-fridge,20161020,"{1: 601, 10: 23, 30: 1, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9831134259259259,0.6090447094650012,03
00_total,20161011,"{1: 46, 10: 5, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9963657407407407,1.0,03
02_washing-machine,20170101,"{1: 838, 10: 28, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9733449074074074,0.0020777594127416358,03
00_total,20161018,"{1: 443, 10: 36, 30: 6, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9790509259259259,1.0,03
01_kimchi-fridge,20161217,"{1: 1019, 10: 27, 30: 9, 60: 7, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9701851851851852,0.7053357829102246,03
01_kimchi-fridge,20170107,"{1: 1659, 10: 29, 30: 9, 60: 6, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9475,0.6418197661161601,03
01_kimchi-fridge,20161018,"{1: 1448, 10: 25, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9644675925925926,0.5965958638345534,03
02_washing-machine,20161213,"{1: 1059, 10: 26, 30: 3, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9712037037037037,0.0,03
02_washing-machine,20170107,"{1: 2684, 10: 33, 30: 11, 60: 5, 300: 2, 1800: 1, 3600: 1, 10800: 0}",0.8875578703703704,0.003659124991849775,03
02_washing-machine,20161018,"{1: 1475, 10: 24, 30: 3, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9632638888888889,0.02224785523754596,03
02_washing-machine,20161029,"{1: 831, 10: 24, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9774884259259259,0.0114743551792868,03
00_total,20161116,"{1: 86, 10: 12, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9952893518518519,1.0,03
00_total,20161022,"{1: 248, 10: 40, 30: 2, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9862608024691358,1.0,03
02_washing-machine,20161208,"{1: 1642, 10: 31, 30: 4, 60: 3, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9551967592592593,0.0,03
01_kimchi-fridge,20161208,"{1: 1269, 10: 31, 30: 6, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9679745370370371,0.6564793004356335,03
01_kimchi-fridge,20161022,"{1: 900, 10: 30, 30: 5, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9707060185185186,0.5982464716800407,03
00_total,20161213,"{1: 80, 10: 5, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9966898148148148,1.0,03
01_kimchi-fridge,20161006,"{1: 422, 10: 24, 30: 3, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9856481481481482,0.6343283231564114,03
00_total,20161217,"{1: 80, 10: 7, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.996712962962963,1.0,03
02_washing-machine,20161217,"{1: 1765, 10: 33, 30: 8, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9537268518518518,0.0,03
02_washing-machine,20161103,"{1: 536, 10: 24, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9830555555555556,0.0,03
01_kimchi-fridge,20161213,"{1: 879, 10: 27, 30: 2, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9751736111111111,0.6634913852788162,03
02_washing-machine,20161116,"{1: 443, 10: 26, 30: 3, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9839814814814815,0.023910793262444715,03
00_total,20161103,"{1: 56, 10: 9, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9970949074074074,1.0,03
01_kimchi-fridge,20161103,"{1: 458, 10: 24, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.985011574074074,0.5069290875976734,03
01_kimchi-fridge,20161029,"{1: 494, 10: 23, 30: 1, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9851157407407407,0.56291875210502,03
00_total,20170116,"{1: 172, 10: 10, 30: 1, 60: 1, 300: 1, 1800: 1, 3600: 0, 10800: 0}",0.9720023148148148,1.0,03
00_total,20161208,"{1: 2861, 10: 23, 30: 1, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9462037037037037,1.0,03
02_washing-machine,20161022,"{1: 1125, 10: 33, 30: 9, 60: 7, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9612384259259259,0.047359654509478114,03
00_total,20161029,"{1: 79, 10: 13, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9953125,1.0,03
02_washing-machine,20170116,"{1: 1072, 10: 31, 30: 8, 60: 5, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9551967592592593,0.0,03
00_total,20170107,"{1: 3712, 10: 29, 30: 1, 60: 1, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.8139467592592593,1.0,03
01_kimchi-fridge,20170116,"{1: 1078, 10: 30, 30: 7, 60: 6, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9555555555555556,0.696749031007752,03
00_total,20161006,"{1: 63, 10: 13, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9947106481481481,1.0,03
02_washing-machine,20161006,"{1: 445, 10: 25, 30: 3, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9836689814814815,0.0,03
02_washing-machine,20161119,"{1: 746, 10: 25, 30: 1, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.980925925925926,0.0,03
01_kimchi-fridge,20161021,"{1: 1004, 10: 26, 30: 3, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9725694444444445,0.6054536078384704,03
01_kimchi-fridge,20161226,"{1: 1236, 10: 24, 30: 2, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9709953703703704,0.6540658449948745,03
02_washing-machine,20161021,"{1: 977, 10: 24, 30: 3, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9734259259259259,0.0,03
01_kimchi-fridge,20161119,"{1: 519, 10: 25, 30: 3, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9838541666666667,0.5758633805854557,03
00_total,20161021,"{1: 209, 10: 20, 30: 3, 60: 2, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9853472222222223,1.0,03
02_washing-machine,20161226,"{1: 1222, 10: 25, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9735069444444444,0.0,03
02_washing-machine,20161207,"{1: 1426, 10: 24, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9679861111111111,0.0,03
02_washing-machine,20161210,"{1: 1289, 10: 27, 30: 5, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9676273148148148,0.018940309159559666,03
02_washing-machine,20161225,"{1: 990, 10: 26, 30: 5, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9716898148148149,0.0,03
02_washing-machine,20170109,"{1: 867, 10: 27, 30: 8, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9732986111111112,0.0,03
02_washing-machine,20170108,"{1: 1643, 10: 33, 30: 6, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9540740740740741,0.02824631211180124,03
02_washing-machine,20161028,"{1: 754, 10: 28, 30: 4, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9795601851851852,0.02516010114138526,03
01_kimchi-fridge,20161028,"{1: 524, 10: 25, 30: 2, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9844097222222222,0.5547121598689445,03
01_kimchi-fridge,20161207,"{1: 1154, 10: 24, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9726388888888889,0.6597513763942437,03
01_kimchi-fridge,20170108,"{1: 1360, 10: 28, 30: 4, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9615972222222222,0.735474190157515,03
01_kimchi-fridge,20161225,"{1: 929, 10: 26, 30: 7, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9749652777777778,0.7187253423871537,03
00_total,20161210,"{1: 6229, 10: 10, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.8897916666666666,1.0,03
01_kimchi-fridge,20161025,"{1: 439, 10: 24, 30: 3, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9836111111111111,0.5751953308858138,03
00_total,20170109,"{1: 108, 10: 7, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9953009259259259,1.0,03
00_total,20161225,"{1: 104, 10: 6, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9952777777777778,1.0,03
00_total,20161119,"{1: 77, 10: 4, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.996875,1.0,03
00_total,20161025,"{1: 54, 10: 10, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9971527777777778,1.0,03
01_kimchi-fridge,20170109,"{1: 709, 10: 26, 30: 3, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9788773148148148,0.6892753965907972,03
00_total,20161226,"{1: 200, 10: 4, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9942013888888889,1.0,03
00_total,20161207,"{1: 1468, 10: 10, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9724652777777778,1.0,03
00_total,20161028,"{1: 75, 10: 11, 30: 1, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9959375,1.0,03
01_kimchi-fridge,20161210,"{1: 984, 10: 26, 30: 4, 60: 4, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9730555555555556,0.6560812953975957,03
00_total,20170108,"{1: 140, 10: 11, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9935300925925926,1.0,03
01_kimchi-fridge,20161004,"{1: 419, 10: 25, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9856481481481482,0.6589016752779082,03
01_kimchi-fridge,20170125,"{1: 583, 10: 26, 30: 3, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9811805555555555,0.6670889659565433,03
00_total,20161004,"{1: 58, 10: 10, 30: 5, 60: 1, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9875,1.0,03
00_total,20170125,"{1: 166, 10: 7, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9947685185185186,1.0,03
02_washing-machine,20170125,"{1: 560, 10: 26, 30: 4, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9796875,0.025400988441924115,03
02_washing-machine,20161204,"{1: 1608, 10: 27, 30: 2, 60: 1, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9591898148148148,0.0,03
02_washing-machine,20161224,"{1: 1182, 10: 25, 30: 3, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9707523148148148,0.012470441421355304,03
02_washing-machine,20161004,"{1: 403, 10: 26, 30: 3, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9844097222222222,0.0,03
01_kimchi-fridge,20161114,"{1: 809, 10: 25, 30: 3, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9783101851851852,0.8462303512134334,03
01_kimchi-fridge,20161204,"{1: 1309, 10: 27, 30: 3, 60: 2, 300: 1, 1800: 0, 3600: 0, 10800: 0}",0.9633333333333334,0.7176142188901704,03
01_kimchi-fridge,20161224,"{1: 1059, 10: 25, 30: 5, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9734259259259259,0.6839207013538793,03
00_total,20161125,"{1: 357, 10: 11, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.992025462962963,1.0,03
00_total,20161114,"{1: 120, 10: 7, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9958912037037037,1.0,03
01_kimchi-fridge,20161125,"{1: 484, 10: 24, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9830555555555556,0.5285571881573577,03
00_total,20161224,"{1: 74, 10: 5, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9970717592592593,1.0,03
00_total,20161204,"{1: 6238, 10: 19, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.900775462962963,1.0,03
02_washing-machine,20161227,"{1: 1673, 10: 25, 30: 4, 60: 3, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9627199074074074,0.0,03
02_washing-machine,20161114,"{1: 846, 10: 25, 30: 2, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9783449074074074,0.0,03
00_total,20161227,"{1: 112, 10: 5, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9963078703703704,1.0,03
01_kimchi-fridge,20161230,"{1: 925, 10: 26, 30: 7, 60: 5, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9729861111111111,0.6450201825549766,03
01_kimchi-fridge,20161227,"{1: 1365, 10: 26, 30: 1, 60: 1, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9690740740740741,0.6939319383400216,03
02_washing-machine,20161125,"{1: 823, 10: 32, 30: 8, 60: 8, 300: 5, 1800: 0, 3600: 0, 10800: 0}",0.9371412037037037,0.0,03
01_kimchi-fridge,20161015,"{1: 462, 10: 25, 30: 2, 60: 2, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.9834027777777777,0.6078509835306671,03
01_kimchi-fridge,20170127,"{1: 921, 10: 25, 30: 0, 60: 0, 300: 0, 1800: 0, 3600: 0, 10800: 0}",0.978287037037037,0.6763633208713896,03
